,League,Date,Home,Away,Goals_H_FT,Goals_A_FT,Result_FT,Odds_H,Odds_D,Odds_A,Pontos_H,Pontos_A,Total_Goals_FT,Over05_FT,Over15_FT,Over25_FT,Under25_FT,BTTS,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_BTTS_Home,Porc_BTTS_Away,Media_Pontos_H,Media_Pontos_A,Media_Gols_Feitos_Home,Media_Gols_Sofridos_Home,Media_Gols_Feitos_Away,Media_Gols_Sofridos_Away
0,Inglaterra 1,05/08/2022,Crystal Palace,Arsenal,0,2,A,4.2,3.6,1.85,0,3,2,1,1,0,1,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0
1,Inglaterra 1,06/08/2022,Fulham,Liverpool,2,2,D,11.0,6.0,1.25,1,1,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,2.0,2.0,2.0,2.0
2,Inglaterra 1,06/08/2022,Bournemouth,Aston Villa,2,0,H,3.75,3.5,2.0,3,0,2,1,1,0,1,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0
3,Inglaterra 1,06/08/2022,Leeds,Wolves,2,1,H,2.25,3.4,3.2,3,0,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,0.0,2.0,1.0,1.0,2.0
4,Inglaterra 1,06/08/2022,Newcastle,Nott'm Forest,2,0,H,1.66,3.8,5.25,3,0,2,1,1,0,1,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0
5,Inglaterra 1,06/08/2022,Tottenham,Southampton,4,1,H,1.33,5.5,8.5,3,0,5,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,0.0,4.0,1.0,1.0,4.0
6,Inglaterra 1,06/08/2022,Everton,Chelsea,0,1,A,5.5,4.0,1.61,0,3,1,1,0,0,1,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0
7,Inglaterra 1,07/08/2022,Leicester,Brentford,2,2,D,2.0,3.75,3.5,1,1,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,2.0,2.0,2.0,2.0
8,Inglaterra 1,07/08/2022,Man United,Brighton,1,2,A,1.6,4.2,5.25,0,3,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,3.0,1.0,2.0,2.0,1.0
9,Inglaterra 1,07/08/2022,West Ham,Man City,0,2,A,8.0,5.0,1.36,0,3,2,1,1,0,1,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0
10,Inglaterra 1,13/08/2022,Aston Villa,Everton,2,1,H,1.8,3.5,4.75,3,0,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,0.0,2.0,1.0,1.0,2.0
11,Inglaterra 1,13/08/2022,Arsenal,Leicester,4,2,H,1.53,4.33,5.75,3,0,6,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,0.0,4.0,2.0,2.0,4.0
12,Inglaterra 1,13/08/2022,Brighton,Newcastle,0,0,D,2.45,3.2,3.0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,Inglaterra 1,13/08/2022,Man City,Bournemouth,4,0,H,1.06,13.0,29.0,3,0,4,1,1,1,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0
14,Inglaterra 1,13/08/2022,Southampton,Leeds,2,2,D,2.25,3.5,3.1,1,1,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,2.0,2.0,2.0,2.0
15,Inglaterra 1,13/08/2022,Wolves,Fulham,0,0,D,2.3,3.3,3.2,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,Inglaterra 1,13/08/2022,Brentford,Man United,4,0,H,3.75,3.5,2.0,3,0,4,1,1,1,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0
17,Inglaterra 1,14/08/2022,Nott'm Forest,West Ham,1,0,H,4.2,3.6,1.85,3,0,1,1,0,0,1,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
18,Inglaterra 1,14/08/2022,Chelsea,Tottenham,2,2,D,2.25,3.4,3.2,1,1,4,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,2.0,2.0,2.0,2.0
19,Inglaterra 1,15/08/2022,Liverpool,Crystal Palace,1,1,D,1.18,6.75,16.0,1,1,2,1,1,0,1,1,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0
20,Inglaterra 1,20/08/2022,Tottenham,Wolves,1,0,H,1.4,4.75,7.5,3,0,1,1,0,0,1,0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,0.0,2.5,0.5,0.5,1.5
21,Inglaterra 1,20/08/2022,Crystal Palace,Aston Villa,3,1,H,2.5,3.25,2.9,3,0,4,1,1,1,0,1,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,1.5,0.0,1.5,1.5,0.5,2.5
22,Inglaterra 1,20/08/2022,Everton,Nott'm Forest,1,1,D,1.9,3.6,4.0,1,1,2,1,1,0,1,1,100.0,100.0,50.0,100.0,0.0,0.0,50.0,50.0,0.5,0.5,0.5,1.0,0.5,1.5
23,Inglaterra 1,20/08/2022,Fulham,Brentford,3,2,H,2.45,3.4,2.9,3,0,5,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,0.5,2.5,2.0,2.0,2.5
24,Inglaterra 1,20/08/2022,Leicester,Southampton,1,2,A,1.83,4.0,4.0,0,3,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,1.5,1.5,2.0,1.5,2.5
25,Inglaterra 1,20/08/2022,Bournemouth,Arsenal,0,3,A,8.0,4.75,1.4,0,3,3,1,1,1,0,0,100.0,100.0,100.0,100.0,50.0,50.0,0.0,0.0,1.5,3.0,1.0,1.5,2.5,0.0
26,Inglaterra 1,21/08/2022,Leeds,Chelsea,3,0,H,5.75,4.5,1.53,3,0,3,1,1,1,0,0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,0.0,3.0,1.5,2.5,0.5,0.5,1.5
27,Inglaterra 1,21/08/2022,West Ham,Brighton,0,2,A,2.3,3.4,3.1,0,3,2,1,1,0,1,0,100.0,100.0,100.0,100.0,0.0,50.0,0.0,50.0,0.0,3.0,0.0,2.0,2.0,0.5
28,Inglaterra 1,21/08/2022,Newcastle,Man City,3,3,D,7.5,5.0,1.36,1,1,6,1,1,1,0,1,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,2.0,2.0,2.5,1.5,2.5,1.5
29,Inglaterra 1,22/08/2022,Man United,Liverpool,2,1,H,5.25,4.33,1.6,3,0,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.5,0.5,1.5,1.5,1.5,2.0
30,Inglaterra 1,27/08/2022,Southampton,Man United,0,1,A,4.2,4.0,1.8,0,3,1,1,0,0,1,0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,0.5,1.5,1.0,1.5,0.5,2.0
31,Inglaterra 1,27/08/2022,Brentford,Everton,1,1,D,2.0,3.5,3.75,1,1,2,1,1,0,1,1,100.0,100.0,100.0,100.0,50.0,50.0,50.0,100.0,2.0,0.5,2.5,0.5,1.0,1.5
32,Inglaterra 1,27/08/2022,Brighton,Leeds,1,0,H,1.9,3.8,3.8,3,0,1,1,0,0,1,0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,50.0,2.0,0.5,0.5,0.0,1.0,1.5
33,Inglaterra 1,27/08/2022,Chelsea,Leicester,2,1,H,1.4,5.0,7.0,3,0,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,0.0,2.0,1.5,1.5,3.0
34,Inglaterra 1,27/08/2022,Liverpool,Bournemouth,9,0,H,1.1,10.0,26.0,3,0,9,1,1,1,0,0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,0.0,2.0,0.0,5.0,0.5,0.0,6.5
35,Inglaterra 1,27/08/2022,Man City,Crystal Palace,4,2,H,1.18,7.5,13.0,3,0,6,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,3.0,0.5,4.0,1.0,1.5,2.5
36,Inglaterra 1,27/08/2022,Arsenal,Fulham,2,1,H,1.3,5.75,9.0,3,0,3,1,1,1,0,1,100.0,50.0,100.0,50.0,100.0,50.0,100.0,50.0,3.0,0.5,3.0,1.5,0.5,1.0
37,Inglaterra 1,28/08/2022,Aston Villa,West Ham,0,1,A,2.3,3.4,3.1,0,3,1,1,0,0,1,0,100.0,100.0,50.0,0.0,50.0,0.0,50.0,0.0,1.5,1.5,1.0,1.0,0.5,0.5
38,Inglaterra 1,28/08/2022,Wolves,Newcastle,1,1,D,2.7,3.3,2.7,1,1,2,1,1,0,1,1,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,1.0,1.0,0.5,0.5,0.5,0.5
39,Inglaterra 1,28/08/2022,Nott'm Forest,Tottenham,0,2,A,7.0,4.6,1.44,0,3,2,1,1,0,1,0,100.0,100.0,50.0,100.0,0.0,50.0,0.0,50.0,1.5,2.0,0.5,1.0,2.0,1.0
40,Inglaterra 1,30/08/2022,Crystal Palace,Brentford,1,1,D,2.05,3.4,3.6,1,1,2,1,1,0,1,1,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666,66.66666666666666,100.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0
41,Inglaterra 1,30/08/2022,Fulham,Brighton,2,1,H,3.1,3.3,2.3,3,0,3,1,1,1,0,1,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,66.66666666666666,2.3333333333333335,2.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.0
42,Inglaterra 1,30/08/2022,Southampton,Chelsea,2,1,H,5.25,4.0,1.61,3,0,3,1,1,1,0,1,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
